ac_status,humidity,is_anomaly,occupancy_count,oxygen,source,temperature,timestamp,o2_lag1,temp_lag1,hum_lag1,o2_lag2,temp_lag2,hum_lag2,o2_lag3,temp_lag3,hum_lag3,o2_lag4,temp_lag4,hum_lag4,o2_lag5,temp_lag5,hum_lag5,o2_lag6,temp_lag6,hum_lag6,o2_lag7,temp_lag7,hum_lag7,o2_lag8,temp_lag8,hum_lag8,o2_lag9,temp_lag9,hum_lag9,o2_lag10,temp_lag10,hum_lag10,o2_lag11,temp_lag11,hum_lag11,o2_lag12,temp_lag12,hum_lag12,o2_delta_1,o2_delta_3,o2_delta_6,temp_delta_1,hum_delta_1,o2_roll_mean_3,o2_roll_mean_6,o2_roll_std_3,temp_roll_mean_3,hum_roll_mean_3,hour_sin,hour_cos,dow_sin,dow_cos,occ_lag1,occ_roll_mean_3,occ_delta_1,ac_lag1,target_5min,target_10min,forecast_5min,forecast_10min,iso_score,is_anomaly_iso,cusum_score,is_anomaly_cusum,final_anomaly,detector_category,rec_severity,rec_message,rec_buzzer,rec_action_code
0.0,50.756,0.0,1.0,20.9652,synthetic,25.36,2026-06-07 08:00:00+00:00,20.9467,24.952,50.736,20.9542,24.616,48.497,20.9355,25.021,51.533,20.957,24.516,51.116,20.9706,24.904,49.892,20.9541,24.935,48.729,20.9584,24.685,51.302,20.9646,24.878,51.337,20.9575,24.641,50.882,20.9389,24.927,49.107,20.9668,24.798,51.315,20.9705,24.833,52.142,0.0184999999999995,0.0296999999999982,0.011099999999999,0.4079999999999977,0.0200000000000031,20.955366666666663,20.954866666666668,0.0093050165700265,24.976,49.99633333333333,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.0,0.3333333333333333,1.0,0.0,20.9785,20.9696,20.967402,21.017338,0.05644516273394784,0,0.0,0,0,normal,OK,Air quality normal.,none,0
0.0,51.383,0.0,0.0,20.9785,synthetic,25.727,2026-06-07 08:05:00+00:00,20.9652,25.36,50.756,20.9467,24.952,50.736,20.9542,24.616,48.497,20.9355,25.021,51.533,20.957,24.516,51.116,20.9706,24.904,49.892,20.9541,24.935,48.729,20.9584,24.685,51.302,20.9646,24.878,51.337,20.9575,24.641,50.882,20.9389,24.927,49.107,20.9668,24.798,51.315,0.0133000000000009,0.0243000000000002,0.0078999999999993,0.3670000000000009,0.6270000000000024,20.963466666666665,20.95618333333333,0.0159707023443186,25.34633333333333,50.958333333333336,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1.0,0.3333333333333333,-1.0,0.0,20.9696,20.9804,21.078962,20.90068,0.05672344763661069,0,0.0,0,0,normal,OK,Air quality normal.,none,0
0.0,51.504,0.0,1.0,20.9696,synthetic,25.212,2026-06-07 08:10:00+00:00,20.9785,25.727,51.383,20.9652,25.36,50.756,20.9467,24.952,50.736,20.9542,24.616,48.497,20.9355,25.021,51.533,20.957,24.516,51.116,20.9706,24.904,49.892,20.9541,24.935,48.729,20.9584,24.685,51.302,20.9646,24.878,51.337,20.9575,24.641,50.882,20.9389,24.927,49.107,-0.0089000000000005,0.0228999999999999,0.012599999999999,-0.5150000000000006,0.1209999999999951,20.9711,20.95828333333333,0.0067756918495247,25.433000000000003,51.214333333333336,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.0,0.6666666666666666,1.0,0.0,20.9804,20.9654,20.9375,20.95734,0.057788130378578384,0,0.0,0,0,normal,OK,Air quality normal.,none,0
0.0,51.391,0.0,0.0,20.9804,synthetic,25.18,2026-06-07 08:15:00+00:00,20.9696,25.212,51.504,20.9785,25.727,51.383,20.9652,25.36,50.756,20.9467,24.952,50.736,20.9542,24.616,48.497,20.9355,25.021,51.533,20.957,24.516,51.116,20.9706,24.904,49.892,20.9541,24.935,48.729,20.9584,24.685,51.302,20.9646,24.878,51.337,20.9575,24.641,50.882,0.0107999999999996,0.0152000000000001,0.0448999999999983,-0.032,-0.1129999999999995,20.976166666666668,20.965766666666667,0.005765703198613,25.373,51.42600000000001,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1.0,0.3333333333333333,-1.0,0.0,20.9654,20.9812,20.90841,21.005566,0.06435978470734233,0,0.0,0,0,normal,OK,Air quality normal.,none,0
0.0,49.682,0.0,1.0,20.9654,synthetic,25.263,2026-06-07 08:20:00+00:00,20.9804,25.18,51.391,20.9696,25.212,51.504,20.9785,25.727,51.383,20.9652,25.36,50.756,20.9467,24.952,50.736,20.9542,24.616,48.497,20.9355,25.021,51.533,20.957,24.516,51.116,20.9706,24.904,49.892,20.9541,24.935,48.729,20.9584,24.685,51.302,20.9646,24.878,51.337,-0.0150000000000005,-0.0131000000000014,0.0111999999999987,0.0830000000000019,-1.708999999999996,20.9718,20.967633333333332,0.0077382168514418,25.218333333333334,50.859,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.0,0.6666666666666666,1.0,0.0,20.9812,20.9727,20.994398,20.96767,0.061293457570945786,0,0.0,0,0,normal,OK,Air quality normal.,none,0
0.0,48.395,0.0,0.0,20.9812,synthetic,25.192,2026-06-07 08:25:00+00:00,20.9654,25.263,49.682,20.9804,25.18,51.391,20.9696,25.212,51.504,20.9785,25.727,51.383,20.9652,25.36,50.756,20.9467,24.952,50.736,20.9542,24.616,48.497,20.9355,25.021,51.533,20.957,24.516,51.116,20.9706,24.904,49.892,20.9541,24.935,48.729,20.9584,24.685,51.302,0.0158000000000022,0.0116000000000013,0.0345000000000013,-0.0710000000000015,-1.286999999999999,20.97566666666667,20.97338333333333,0.0089001872662524,25.211666666666662,49.82266666666667,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1.0,0.3333333333333333,-1.0,0.0,20.9727,20.9875,20.992313,20.956495,0.061907056871551625,0,0.0,0,0,normal,OK,Air quality normal.,none,0
0.0,50.048,0.0,0.0,20.9727,synthetic,25.468,2026-06-07 08:30:00+00:00,20.9812,25.192,48.395,20.9654,25.263,49.682,20.9804,25.18,51.391,20.9696,25.212,51.504,20.9785,25.727,51.383,20.9652,25.36,50.756,20.9467,24.952,50.736,20.9542,24.616,48.497,20.9355,25.021,51.533,20.957,24.516,51.116,20.9706,24.904,49.892,20.9541,24.935,48.729,-0.0085000000000015,-0.0076999999999998,0.0075000000000002,0.2759999999999998,1.6529999999999987,20.9731,20.974633333333333,0.0079075912919366,25.307666666666663,49.375,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.0,0.3333333333333333,0.0,0.0,20.9875,20.9747,20.898563,20.90006,0.056231878105556576,0,0.0,0,0,normal,OK,Air quality normal.,none,0
0.0,52.084,0.0,0.0,20.9875,synthetic,24.864,2026-06-07 08:35:00+00:00,20.9727,25.468,50.048,20.9812,25.192,48.395,20.9654,25.263,49.682,20.9804,25.18,51.391,20.9696,25.212,51.504,20.9785,25.727,51.383,20.9652,25.36,50.756,20.9467,24.952,50.736,20.9542,24.616,48.497,20.9355,25.021,51.533,20.957,24.516,51.116,20.9706,24.904,49.892,0.014800000000001,0.0221000000000017,0.0090000000000003,-0.6039999999999992,2.0360000000000014,20.98046666666667,20.976133333333333,0.0074272022576276,25.174666666666667,50.17566666666667,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.0,20.9747,20.9661,20.77245,21.00918,0.04878489175303302,0,0.0,0,0,normal,OK,Air quality normal.,none,0
0.0,52.47,0.0,1.0,20.9747,synthetic,25.004,2026-06-07 08:40:00+00:00,20.9875,24.864,52.084,20.9727,25.468,50.048,20.9812,25.192,48.395,20.9654,25.263,49.682,20.9804,25.18,51.391,20.9696,25.212,51.504,20.9785,25.727,51.383,20.9652,25.36,50.756,20.9467,24.952,50.736,20.9542,24.616,48.497,20.9355,25.021,51.533,20.957,24.516,51.116,-0.0128000000000021,-0.0065000000000026,0.0050999999999987,0.1400000000000005,0.3859999999999957,20.9783,20.976983333333333,0.0080299439625545,25.112,51.534,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.0,0.3333333333333333,1.0,0.0,20.9661,20.9886,20.990345,20.913752,0.05853977826131179,0,0.0,0,0,normal,OK,Air quality normal.,none,0
0.0,51.652,0.0,0.0,20.9661,synthetic,25.001,2026-06-07 08:45:00+00:00,20.9747,25.004,52.47,20.9875,24.864,52.084,20.9727,25.468,50.048,20.9812,25.192,48.395,20.9654,25.263,49.682,20.9804,25.18,51.391,20.9696,25.212,51.504,20.9785,25.727,51.383,20.9652,25.36,50.756,20.9467,24.952,50.736,20.9542,24.616,48.497,20.9355,25.021,51.533,-0.0085999999999977,-0.0065999999999988,-0.0142999999999986,-0.0030000000000001,-0.8179999999999978,20.9761,20.9746,0.0107684725026861,24.956333333333333,52.068666666666665,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1.0,0.3333333333333333,-1.0,0.0,20.9886,20.9979,20.924742,20.97561,0.06350390551506757,0,0.0,0,0,normal,OK,Air quality normal.,none,0
