ac_status,humidity,is_anomaly,occupancy_count,oxygen,source,temperature,timestamp,o2_lag1,temp_lag1,hum_lag1,o2_lag2,temp_lag2,hum_lag2,o2_lag3,temp_lag3,hum_lag3,o2_lag4,temp_lag4,hum_lag4,o2_lag5,temp_lag5,hum_lag5,o2_lag6,temp_lag6,hum_lag6,o2_lag7,temp_lag7,hum_lag7,o2_lag8,temp_lag8,hum_lag8,o2_lag9,temp_lag9,hum_lag9,o2_lag10,temp_lag10,hum_lag10,o2_lag11,temp_lag11,hum_lag11,o2_lag12,temp_lag12,hum_lag12,o2_delta_1,o2_delta_3,o2_delta_6,temp_delta_1,hum_delta_1,o2_roll_mean_3,o2_roll_mean_6,o2_roll_std_3,temp_roll_mean_3,hum_roll_mean_3,hour_sin,hour_cos,dow_sin,dow_cos,occ_lag1,occ_roll_mean_3,occ_delta_1,ac_lag1,target_5min,target_10min
1.0,50.383,0.0,4.0,20.997,synthetic,25.226,2026-06-01 09:00:00+00:00,20.9974,24.651,50.918,21.0,24.652,52.194,20.9334,24.903,51.418,20.9273,24.65,50.729,20.9247,24.96,49.315,20.9203,25.163,49.729,20.9036,24.709,49.756,20.8962,24.709,52.871,20.8966,25.149,52.079,20.9187,24.93,51.44,20.9044,24.733,51.256,20.9,24.892,49.531,-0.00039999999999906777,0.06360000000000099,0.07669999999999888,0.5749999999999993,-0.5349999999999966,20.99813333333333,20.9633,0.0016289055631591022,24.843,51.165,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.0,1.3333333333333333,4.0,0.0,20.9922,20.9914
1.0,51.272,0.0,5.0,20.9922,synthetic,24.687,2026-06-01 09:05:00+00:00,20.997,25.226,50.383,20.9974,24.651,50.918,21.0,24.652,52.194,20.9334,24.903,51.418,20.9273,24.65,50.729,20.9247,24.96,49.315,20.9203,25.163,49.729,20.9036,24.709,49.756,20.8962,24.709,52.871,20.8966,25.149,52.079,20.9187,24.93,51.44,20.9044,24.733,51.256,-0.004799999999999471,-0.007799999999999585,0.067499999999999,-0.5389999999999979,0.8889999999999958,20.99553333333333,20.97455,0.002893671255289304,24.854666666666663,50.85766666666667,0.7071067811865476,-0.7071067811865475,0.0,1.0,4.0,3.0,1.0,1.0,20.9914,20.988
1.0,50.06,0.0,1.0,20.9914,synthetic,24.734,2026-06-01 09:10:00+00:00,20.9922,24.687,51.272,20.997,25.226,50.383,20.9974,24.651,50.918,21.0,24.652,52.194,20.9334,24.903,51.418,20.9273,24.65,50.729,20.9247,24.96,49.315,20.9203,25.163,49.729,20.9036,24.709,49.756,20.8962,24.709,52.871,20.8966,25.149,52.079,20.9187,24.93,51.44,-0.0008000000000016882,-0.006000000000000227,0.06409999999999982,0.0470000000000006,-1.2119999999999962,20.993533333333332,20.985233333333333,0.003028751117820982,24.882333333333335,50.571666666666665,0.7071067811865476,-0.7071067811865475,0.0,1.0,5.0,3.3333333333333335,-4.0,1.0,20.988,21.0
1.0,53.395,0.0,3.0,20.988,synthetic,25.024,2026-06-01 09:15:00+00:00,20.9914,24.734,50.06,20.9922,24.687,51.272,20.997,25.226,50.383,20.9974,24.651,50.918,21.0,24.652,52.194,20.9334,24.903,51.418,20.9273,24.65,50.729,20.9247,24.96,49.315,20.9203,25.163,49.729,20.9036,24.709,49.756,20.8962,24.709,52.871,20.8966,25.149,52.079,-0.0033999999999991815,-0.009000000000000341,0.05460000000000065,0.28999999999999915,3.335000000000001,20.99053333333333,20.994333333333334,0.002230097157912063,24.815,51.57566666666667,0.7071067811865476,-0.7071067811865475,0.0,1.0,1.0,3.0,2.0,1.0,21.0,21.0
1.0,49.026,0.0,3.0,21.0,synthetic,24.912,2026-06-01 09:20:00+00:00,20.988,25.024,53.395,20.9914,24.734,50.06,20.9922,24.687,51.272,20.997,25.226,50.383,20.9974,24.651,50.918,21.0,24.652,52.194,20.9334,24.903,51.418,20.9273,24.65,50.729,20.9247,24.96,49.315,20.9203,25.163,49.729,20.9036,24.709,49.756,20.8962,24.709,52.871,0.012000000000000455,0.007799999999999585,0.0,-0.11200000000000188,-4.369,20.993133333333333,20.994333333333334,0.0061849279166136355,24.89,50.827000000000005,0.7071067811865476,-0.7071067811865475,0.0,1.0,3.0,2.3333333333333335,0.0,1.0,21.0,20.9919
1.0,50.978,0.0,4.0,21.0,synthetic,25.244,2026-06-01 09:25:00+00:00,21.0,24.912,49.026,20.988,25.024,53.395,20.9914,24.734,50.06,20.9922,24.687,51.272,20.997,25.226,50.383,20.9974,24.651,50.918,21.0,24.652,52.194,20.9334,24.903,51.418,20.9273,24.65,50.729,20.9247,24.96,49.315,20.9203,25.163,49.729,20.9036,24.709,49.756,0.0,0.008600000000001273,0.002600000000001046,0.33200000000000074,1.9519999999999982,20.996,20.994766666666667,0.006928203230299303,25.06,51.133,0.7071067811865476,-0.7071067811865475,0.0,1.0,3.0,3.3333333333333335,1.0,1.0,20.9919,20.9834
1.0,53.368,0.0,5.0,20.9919,synthetic,24.938,2026-06-01 09:30:00+00:00,21.0,25.244,50.978,21.0,24.912,49.026,20.988,25.024,53.395,20.9914,24.734,50.06,20.9922,24.687,51.272,20.997,25.226,50.383,20.9974,24.651,50.918,21.0,24.652,52.194,20.9334,24.903,51.418,20.9273,24.65,50.729,20.9247,24.96,49.315,20.9203,25.163,49.729,-0.008099999999998886,0.003900000000001569,-0.005099999999998772,-0.30600000000000094,2.3900000000000006,20.9973,20.993916666666667,0.004676537180467964,25.031333333333333,51.124,0.7071067811865476,-0.7071067811865475,0.0,1.0,4.0,4.0,1.0,1.0,20.9834,21.0
1.0,51.023,0.0,4.0,20.9834,synthetic,24.812,2026-06-01 09:35:00+00:00,20.9919,24.938,53.368,21.0,25.244,50.978,21.0,24.912,49.026,20.988,25.024,53.395,20.9914,24.734,50.06,20.9922,24.687,51.272,20.997,25.226,50.383,20.9974,24.651,50.918,21.0,24.652,52.194,20.9334,24.903,51.418,20.9273,24.65,50.729,20.9247,24.96,49.315,-0.008500000000001506,-0.016600000000000392,-0.008800000000000807,-0.12599999999999767,-2.344999999999999,20.991766666666667,20.99245,0.008300803174013683,24.998,51.78966666666667,0.7071067811865476,-0.7071067811865475,0.0,1.0,5.0,4.333333333333333,-1.0,1.0,21.0,20.992
1.0,50.355,0.0,2.0,21.0,synthetic,25.531,2026-06-01 09:40:00+00:00,20.9834,24.812,51.023,20.9919,24.938,53.368,21.0,25.244,50.978,21.0,24.912,49.026,20.988,25.024,53.395,20.9914,24.734,50.06,20.9922,24.687,51.272,20.997,25.226,50.383,20.9974,24.651,50.918,21.0,24.652,52.194,20.9334,24.903,51.418,20.9273,24.65,50.729,0.016600000000000392,0.0,0.008600000000001273,0.7189999999999976,-0.6680000000000064,20.991766666666667,20.993883333333333,0.008300803174013683,25.093666666666667,51.582,0.7071067811865476,-0.7071067811865475,0.0,1.0,4.0,3.6666666666666665,-2.0,1.0,20.992,20.9876
1.0,50.408,0.0,2.0,20.992,synthetic,25.109,2026-06-01 09:45:00+00:00,21.0,25.531,50.355,20.9834,24.812,51.023,20.9919,24.938,53.368,21.0,25.244,50.978,21.0,24.912,49.026,20.988,25.024,53.395,20.9914,24.734,50.06,20.9922,24.687,51.272,20.997,25.226,50.383,20.9974,24.651,50.918,21.0,24.652,52.194,20.9334,24.903,51.418,-0.007999999999999119,9.999999999976694e-05,0.004000000000001336,-0.42199999999999704,0.05300000000000438,20.9918,20.99455,0.008301807032229899,25.150666666666666,50.595333333333336,0.7071067811865476,-0.7071067811865475,0.0,1.0,2.0,2.6666666666666665,0.0,1.0,20.9876,20.988
